cluster	number of LBDs	DPS	PAB species	total species
cluster_972	14	0.00	0	10
cluster_973	14	0.00	0	14
cluster_974	14	0.00	0	13
cluster_975	14	0.00	0	8
cluster_976	14	7.69	1	13
cluster_977	14	58.33	7	12
cluster_978	14	0.00	0	14
cluster_979	14	7.14	1	14
cluster_980	14	0.00	0	14
cluster_981	14	0.00	0	12
cluster_982	14	25.00	3	12
cluster_983	14	0.00	0	14
cluster_984	14	0.00	0	14
cluster_985	14	35.71	5	14
cluster_986	14	35.71	5	14
cluster_987	14	0.00	0	14
cluster_988	14	0.00	0	12
cluster_989	14	0.00	0	14
cluster_990	14	0.00	0	8
cluster_991	14	35.71	5	14
cluster_992	14	0.00	0	8
cluster_993	14	21.43	3	14
cluster_994	14	0.00	0	14
cluster_995	14	40.00	4	10
cluster_996	14	15.38	2	13
cluster_997	14	66.67	8	12
cluster_998	14	21.43	3	14
cluster_999	14	0.00	0	14
cluster_1000	14	0.00	0	14
cluster_1001	14	0.00	0	12
cluster_1002	14	7.14	1	14
cluster_1003	14	25.00	3	12
cluster_1004	14	61.54	8	13
cluster_1005	14	0.00	0	14
cluster_1006	14	7.69	1	13
cluster_1007	14	0.00	0	13
cluster_1008	14	7.69	1	13
cluster_1009	14	0.00	0	12
cluster_1010	14	0.00	0	9
cluster_1011	14	0.00	0	13
cluster_1012	14	28.57	4	14
cluster_1013	13	0.00	0	13
cluster_1014	13	0.00	0	13
cluster_1015	13	69.23	9	13
cluster_1016	13	69.23	9	13
cluster_1017	13	0.00	0	12
cluster_1018	13	0.00	0	13
cluster_1019	13	15.38	2	13
cluster_1020	13	15.38	2	13
cluster_1021	13	70.00	7	10
cluster_1022	13	0.00	0	12
cluster_1023	13	0.00	0	10
cluster_1024	13	0.00	0	9
cluster_1025	13	0.00	0	13
cluster_1026	13	0.00	0	13
cluster_1027	13	0.00	0	7
cluster_1028	13	0.00	0	11
cluster_1029	13	70.00	7	10
cluster_1030	13	0.00	0	13
cluster_1031	13	0.00	0	13
cluster_1032	13	0.00	0	11
cluster_1033	13	16.67	2	12
cluster_1034	13	0.00	0	12
cluster_1035	13	54.55	6	11
cluster_1036	13	0.00	0	13
cluster_1037	13	10.00	1	10
cluster_1038	13	0.00	0	9
cluster_1039	13	0.00	0	12
cluster_1040	13	50.00	6	12
cluster_1041	13	0.00	0	10
cluster_1042	13	50.00	6	12
cluster_1043	13	30.77	4	13
cluster_1044	13	76.92	10	13
cluster_1045	13	0.00	0	12
cluster_1046	13	0.00	0	13
cluster_1047	13	25.00	3	12
cluster_1048	13	8.33	1	12
cluster_1049	13	58.33	7	12
cluster_1050	13	15.38	2	13
cluster_1051	13	0.00	0	9
cluster_1052	13	0.00	0	7
cluster_1053	13	7.69	1	13
cluster_1054	13	36.36	4	11
cluster_1055	13	7.69	1	13
cluster_1056	13	8.33	1	12
cluster_1057	13	66.67	6	9
cluster_1058	13	0.00	0	10
cluster_1059	13	10.00	1	10
cluster_1060	13	10.00	1	10
cluster_1061	13	41.67	5	12
cluster_1062	13	0.00	0	12
cluster_1063	13	0.00	0	12
cluster_1064	13	0.00	0	12
cluster_1065	13	33.33	4	12
cluster_1066	13	7.69	1	13
cluster_1067	13	0.00	0	10
cluster_1068	13	7.69	1	13
cluster_1069	13	92.31	12	13
cluster_1070	12	0.00	0	3
cluster_1071	12	66.67	6	9
cluster_1072	12	9.09	1	11
cluster_1073	12	0.00	0	12
cluster_1074	12	0.00	0	11
cluster_1075	12	0.00	0	11
cluster_1076	12	0.00	0	10
cluster_1077	12	0.00	0	9
cluster_1078	12	0.00	0	10
cluster_1079	12	42.86	3	7
cluster_1080	12	0.00	0	11
cluster_1081	12	50.00	6	12
cluster_1082	12	0.00	0	11
cluster_1083	12	12.50	1	8
cluster_1084	12	8.33	1	12
cluster_1085	12	41.67	5	12
cluster_1086	12	18.18	2	11
cluster_1087	12	54.55	6	11
cluster_1088	12	8.33	1	12
cluster_1089	12	12.50	1	8
cluster_1090	12	0.00	0	9
cluster_1091	12	0.00	0	12
cluster_1092	12	0.00	0	10
cluster_1093	12	0.00	0	9
cluster_1094	12	41.67	5	12
cluster_1095	12	30.00	3	10
cluster_1096	12	58.33	7	12
cluster_1097	12	0.00	0	12
cluster_1098	12	0.00	0	9
cluster_1099	12	0.00	0	10
cluster_1100	12	0.00	0	12
cluster_1101	12	8.33	1	12
cluster_1102	12	0.00	0	11
cluster_1103	12	40.00	4	10
cluster_1104	12	0.00	0	12
cluster_1105	12	12.50	1	8
cluster_1106	12	0.00	0	11
cluster_1107	12	8.33	1	12
cluster_1108	12	16.67	2	12
cluster_1109	12	10.00	1	10
cluster_1110	12	0.00	0	8
cluster_1111	12	27.27	3	11
cluster_1112	12	0.00	0	12
cluster_1113	12	8.33	1	12
cluster_1114	12	27.27	3	11
cluster_1115	12	8.33	1	12
cluster_1116	12	0.00	0	9
cluster_1117	12	25.00	3	12
cluster_1118	12	0.00	0	10
cluster_1119	12	0.00	0	12
cluster_1120	12	100.00	11	11
cluster_1121	12	8.33	1	12
cluster_1122	12	54.55	6	11
cluster_1123	12	0.00	0	8
cluster_1124	12	0.00	0	12
cluster_1125	12	0.00	0	12
cluster_1126	12	0.00	0	11
cluster_1127	12	36.36	4	11
cluster_1128	12	0.00	0	8
cluster_1129	12	0.00	0	11
cluster_1130	12	0.00	0	12
cluster_1131	12	0.00	0	7
cluster_1132	12	41.67	5	12
cluster_1133	12	0.00	0	12
cluster_1134	12	0.00	0	12
cluster_1135	12	9.09	1	11
cluster_1136	12	0.00	0	10
cluster_1137	12	27.27	3	11
cluster_1138	12	0.00	0	5
cluster_1139	12	0.00	0	12
cluster_1140	12	8.33	1	12
cluster_1141	12	45.45	5	11
cluster_1142	12	0.00	0	8
cluster_1143	12	20.00	2	10
cluster_1144	12	30.00	3	10
cluster_1145	12	9.09	1	11
cluster_1146	12	0.00	0	7
cluster_1147	12	8.33	1	12
cluster_1148	12	9.09	1	11
cluster_1149	12	0.00	0	8
cluster_1150	12	0.00	0	9
cluster_1151	12	0.00	0	10
cluster_1152	12	0.00	0	9
cluster_1153	12	0.00	0	11
cluster_1154	12	0.00	0	7
cluster_1155	11	0.00	0	7
cluster_1156	11	0.00	0	10
cluster_1157	11	0.00	0	9
cluster_1158	11	0.00	0	11
cluster_1159	11	0.00	0	11
cluster_1160	11	0.00	0	10
cluster_1161	11	36.36	4	11
cluster_1162	11	0.00	0	11
cluster_1163	11	9.09	1	11
cluster_1164	11	0.00	0	10
cluster_1165	11	0.00	0	8
cluster_1166	11	0.00	0	6
cluster_1167	11	0.00	0	11
cluster_1168	11	80.00	8	10
cluster_1169	11	0.00	0	10
cluster_1170	11	0.00	0	10
cluster_1171	11	0.00	0	8
cluster_1172	11	90.91	10	11
cluster_1173	11	0.00	0	9
cluster_1174	11	0.00	0	10
cluster_1175	11	0.00	0	5
cluster_1176	11	0.00	0	11
cluster_1177	11	55.56	5	9
cluster_1178	11	0.00	0	11
cluster_1179	11	0.00	0	11
cluster_1180	11	9.09	1	11
cluster_1181	11	45.45	5	11
cluster_1182	11	0.00	0	11
cluster_1183	11	0.00	0	11
cluster_1184	11	0.00	0	11
cluster_1185	11	9.09	1	11
cluster_1186	11	0.00	0	10
cluster_1187	11	0.00	0	9
cluster_1188	11	0.00	0	9
cluster_1189	11	0.00	0	10
cluster_1190	11	0.00	0	9
cluster_1191	11	0.00	0	10
cluster_1192	11	0.00	0	11
cluster_1193	11	0.00	0	11
cluster_1194	11	0.00	0	11
cluster_1195	11	100.00	7	7
cluster_1196	11	11.11	1	9
cluster_1197	11	100.00	11	11
cluster_1198	11	0.00	0	9
cluster_1199	11	20.00	2	10
cluster_1200	11	30.00	3	10
cluster_1201	11	0.00	0	11
cluster_1202	11	0.00	0	8
cluster_1203	11	0.00	0	2
cluster_1204	11	81.82	9	11
cluster_1205	11	0.00	0	11
cluster_1206	11	0.00	0	10
cluster_1207	11	36.36	4	11
cluster_1208	11	0.00	0	11
cluster_1209	11	11.11	1	9
cluster_1210	11	0.00	0	9
cluster_1211	11	72.73	8	11
cluster_1212	11	36.36	4	11
cluster_1213	11	50.00	5	10
cluster_1214	11	9.09	1	11
cluster_1215	11	0.00	0	10
cluster_1216	11	0.00	0	10
cluster_1217	11	0.00	0	10
cluster_1218	11	0.00	0	9
cluster_1219	11	0.00	0	11
cluster_1220	11	11.11	1	9
cluster_1221	11	0.00	0	8
cluster_1222	11	0.00	0	2
cluster_1223	11	40.00	4	10
cluster_1224	10	16.67	1	6
cluster_1225	10	77.78	7	9
cluster_1226	10	0.00	0	9
cluster_1227	10	40.00	4	10
cluster_1228	10	0.00	0	10
cluster_1229	10	0.00	0	10
cluster_1230	10	14.29	1	7
cluster_1231	10	0.00	0	10
cluster_1232	10	20.00	2	10
cluster_1233	10	0.00	0	10
cluster_1234	10	100.00	9	9
cluster_1235	10	0.00	0	9
cluster_1236	10	0.00	0	10
cluster_1237	10	0.00	0	8
cluster_1238	10	0.00	0	3
cluster_1239	10	0.00	0	10
cluster_1240	10	0.00	0	7
cluster_1241	10	11.11	1	9
cluster_1242	10	80.00	8	10
cluster_1243	10	10.00	1	10
cluster_1244	10	0.00	0	10
cluster_1245	10	0.00	0	10
cluster_1246	10	0.00	0	10
cluster_1247	10	20.00	2	10
cluster_1248	10	0.00	0	10
cluster_1249	10	60.00	6	10
cluster_1250	10	0.00	0	4
cluster_1251	10	20.00	2	10
cluster_1252	10	0.00	0	10
cluster_1253	10	30.00	3	10
cluster_1254	10	0.00	0	10
cluster_1255	10	0.00	0	10
cluster_1256	10	40.00	4	10
cluster_1257	10	90.00	9	10
cluster_1258	10	0.00	0	10
cluster_1259	10	0.00	0	10
cluster_1260	10	90.00	9	10
cluster_1261	10	30.00	3	10
cluster_1262	10	22.22	2	9
cluster_1263	10	0.00	0	7
cluster_1264	10	10.00	1	10
cluster_1265	10	20.00	2	10
cluster_1266	10	50.00	5	10
cluster_1267	10	0.00	0	9
cluster_1268	10	90.00	9	10
cluster_1269	10	0.00	0	7
cluster_1270	10	70.00	7	10
cluster_1271	10	0.00	0	8
cluster_1272	10	0.00	0	7
cluster_1273	10	77.78	7	9
cluster_1274	10	0.00	0	10
cluster_1275	10	100.00	10	10
cluster_1276	10	11.11	1	9
cluster_1277	10	0.00	0	6
cluster_1278	10	0.00	0	10
cluster_1279	10	0.00	0	9
cluster_1280	10	10.00	1	10
cluster_1281	10	0.00	0	6
cluster_1282	10	0.00	0	9
cluster_1283	10	0.00	0	10
cluster_1284	10	50.00	2	4
cluster_1285	10	11.11	1	9
cluster_1286	10	0.00	0	10
cluster_1287	10	0.00	0	10
cluster_1288	10	0.00	0	6
cluster_1289	10	10.00	1	10
cluster_1290	10	0.00	0	9
cluster_1291	10	0.00	0	10
cluster_1292	10	0.00	0	10
cluster_1293	10	0.00	0	8
cluster_1294	10	50.00	5	10
cluster_1295	10	66.67	6	9
cluster_1296	10	10.00	1	10
cluster_1297	10	10.00	1	10
cluster_1298	10	0.00	0	10
cluster_1299	10	0.00	0	10
cluster_1300	10	0.00	0	10
cluster_1301	10	0.00	0	10
cluster_1302	10	0.00	0	9
cluster_1303	10	0.00	0	10
cluster_1304	10	10.00	1	10
cluster_1305	10	0.00	0	10
cluster_1306	10	0.00	0	9
cluster_1307	10	0.00	0	8
cluster_1308	10	20.00	2	10
cluster_1309	9	71.43	5	7
cluster_1310	9	0.00	0	9
cluster_1311	9	0.00	0	9
cluster_1312	9	12.50	1	8
cluster_1313	9	0.00	0	8
cluster_1314	9	0.00	0	9
cluster_1315	9	0.00	0	9
cluster_1316	9	11.11	1	9
cluster_1317	9	66.67	6	9
cluster_1318	9	0.00	0	4
cluster_1319	9	0.00	0	8
cluster_1320	9	0.00	0	7
cluster_1321	9	0.00	0	8
cluster_1322	9	11.11	1	9
cluster_1323	9	12.50	1	8
cluster_1324	9	28.57	2	7
cluster_1325	9	11.11	1	9
cluster_1326	9	0.00	0	7
cluster_1327	9	0.00	0	9
cluster_1328	9	11.11	1	9
cluster_1329	9	40.00	2	5
cluster_1330	9	22.22	2	9
cluster_1331	9	0.00	0	9
cluster_1332	9	0.00	0	9
cluster_1333	9	85.71	6	7
cluster_1334	9	100.00	7	7
cluster_1335	9	0.00	0	7
cluster_1336	9	0.00	0	6
cluster_1337	9	0.00	0	9
cluster_1338	9	0.00	0	9
cluster_1339	9	0.00	0	9
cluster_1340	9	0.00	0	9
cluster_1341	9	44.44	4	9
cluster_1342	9	0.00	0	8
cluster_1343	9	0.00	0	9
cluster_1344	9	11.11	1	9
cluster_1345	9	0.00	0	9
cluster_1346	9	0.00	0	9
cluster_1347	9	33.33	3	9
cluster_1348	9	0.00	0	9
cluster_1349	9	0.00	0	9
cluster_1350	9	0.00	0	9
cluster_1351	9	0.00	0	9
cluster_1352	9	0.00	0	9
cluster_1353	9	0.00	0	8
cluster_1354	9	0.00	0	9
cluster_1355	9	0.00	0	9
cluster_1356	9	44.44	4	9
cluster_1357	9	0.00	0	6
cluster_1358	9	0.00	0	9
cluster_1359	9	12.50	1	8
cluster_1360	9	11.11	1	9
cluster_1361	9	14.29	1	7
cluster_1362	9	88.89	8	9
cluster_1363	9	0.00	0	8
cluster_1364	9	0.00	0	6
cluster_1365	9	77.78	7	9
cluster_1366	9	57.14	4	7
cluster_1367	9	57.14	4	7
cluster_1368	9	22.22	2	9
cluster_1369	9	11.11	1	9
cluster_1370	9	0.00	0	8
cluster_1371	9	0.00	0	6
cluster_1372	9	0.00	0	2
cluster_1373	9	0.00	0	6
cluster_1374	9	0.00	0	7
cluster_1375	9	0.00	0	9
cluster_1376	9	0.00	0	9
cluster_1377	9	0.00	0	9
cluster_1378	9	0.00	0	8
cluster_1379	9	14.29	1	7
cluster_1380	9	0.00	0	9
cluster_1381	9	0.00	0	7
cluster_1382	9	11.11	1	9
cluster_1383	9	0.00	0	8
cluster_1384	9	0.00	0	9
cluster_1385	9	0.00	0	9
cluster_1386	9	0.00	0	9
cluster_1387	9	22.22	2	9
cluster_1388	9	55.56	5	9
cluster_1389	9	33.33	3	9
cluster_1390	9	0.00	0	8
cluster_1391	9	44.44	4	9
cluster_1392	9	0.00	0	6
cluster_1393	9	44.44	4	9
cluster_1394	9	75.00	3	4
cluster_1395	9	11.11	1	9
cluster_1396	9	0.00	0	9
cluster_1397	9	55.56	5	9
cluster_1398	9	0.00	0	9
cluster_1399	9	11.11	1	9
cluster_1400	9	0.00	0	9
cluster_1401	8	62.50	5	8
cluster_1402	8	0.00	0	5
cluster_1403	8	0.00	0	7
cluster_1404	8	0.00	0	5
cluster_1405	8	0.00	0	8
cluster_1406	8	12.50	1	8
cluster_1407	8	0.00	0	2
cluster_1408	8	0.00	0	8
cluster_1409	8	0.00	0	8
cluster_1410	8	0.00	0	8
cluster_1411	8	0.00	0	7
cluster_1412	8	0.00	0	8
cluster_1413	8	0.00	0	8
cluster_1414	8	0.00	0	8
cluster_1415	8	0.00	0	6
cluster_1416	8	28.57	2	7
cluster_1417	8	75.00	6	8
cluster_1418	8	0.00	0	8
cluster_1419	8	0.00	0	7
cluster_1420	8	0.00	0	8
cluster_1421	8	0.00	0	6
cluster_1422	8	0.00	0	8
cluster_1423	8	0.00	0	8
cluster_1424	8	75.00	6	8
cluster_1425	8	0.00	0	8
cluster_1426	8	0.00	0	6
cluster_1427	8	0.00	0	8
cluster_1428	8	0.00	0	8
cluster_1429	8	14.29	1	7
cluster_1430	8	62.50	5	8
cluster_1431	8	0.00	0	8
cluster_1432	8	0.00	0	8
cluster_1433	8	14.29	1	7
cluster_1434	8	0.00	0	8
cluster_1435	8	0.00	0	7
cluster_1436	8	0.00	0	8
cluster_1437	8	0.00	0	7
cluster_1438	8	14.29	1	7
cluster_1439	8	0.00	0	8
cluster_1440	8	0.00	0	8
cluster_1441	8	0.00	0	7
cluster_1442	8	0.00	0	3
cluster_1443	8	87.50	7	8
cluster_1444	8	0.00	0	1
cluster_1445	8	0.00	0	8
cluster_1446	8	75.00	6	8
cluster_1447	8	0.00	0	8
cluster_1448	8	85.71	6	7
cluster_1449	8	0.00	0	6
cluster_1450	8	12.50	1	8
cluster_1451	8	25.00	1	4
cluster_1452	8	0.00	0	8
cluster_1453	8	0.00	0	8
cluster_1454	8	16.67	1	6
cluster_1455	8	0.00	0	8
cluster_1456	8	0.00	0	7
cluster_1457	8	0.00	0	8
cluster_1458	8	0.00	0	6
cluster_1459	8	0.00	0	8
cluster_1460	8	42.86	3	7
cluster_1461	8	0.00	0	8
cluster_1462	8	0.00	0	8
cluster_1463	8	0.00	0	8
cluster_1464	8	25.00	2	8
cluster_1465	8	37.50	3	8
cluster_1466	8	0.00	0	8
cluster_1467	8	60.00	3	5
cluster_1468	8	0.00	0	8
cluster_1469	8	25.00	2	8
cluster_1470	8	0.00	0	8
cluster_1471	8	0.00	0	8
cluster_1472	8	0.00	0	7
cluster_1473	8	50.00	2	4
cluster_1474	8	0.00	0	7
cluster_1475	8	0.00	0	7
cluster_1476	8	37.50	3	8
cluster_1477	8	0.00	0	7
cluster_1478	8	0.00	0	8
cluster_1479	8	0.00	0	2
cluster_1480	8	0.00	0	8
cluster_1481	8	0.00	0	7
cluster_1482	8	0.00	0	8
cluster_1483	8	25.00	2	8
cluster_1484	8	0.00	0	8
cluster_1485	8	0.00	0	8
cluster_1486	8	14.29	1	7
cluster_1487	8	0.00	0	8
cluster_1488	8	0.00	0	6
cluster_1489	8	0.00	0	6
cluster_1490	8	0.00	0	8
cluster_1491	8	0.00	0	8
cluster_1492	8	0.00	0	6
cluster_1493	8	0.00	0	8
cluster_1494	8	0.00	0	7
cluster_1495	8	75.00	6	8
cluster_1496	8	0.00	0	7
cluster_1497	8	0.00	0	7
cluster_1498	8	0.00	0	8
cluster_1499	8	0.00	0	8
cluster_1500	8	12.50	1	8
cluster_1501	8	0.00	0	8
cluster_1502	8	0.00	0	7
cluster_1503	8	0.00	0	8
cluster_1504	8	0.00	0	8
cluster_1505	8	87.50	7	8
cluster_1506	8	0.00	0	8
cluster_1507	8	0.00	0	6
cluster_1508	8	0.00	0	4
cluster_1509	8	0.00	0	7
cluster_1510	8	0.00	0	8
cluster_1511	8	12.50	1	8
cluster_1512	8	0.00	0	6
cluster_1513	8	71.43	5	7
cluster_1514	8	0.00	0	8
cluster_1515	8	25.00	2	8
cluster_1516	8	0.00	0	7
cluster_1517	8	0.00	0	8
cluster_1518	8	0.00	0	7
cluster_1519	7	0.00	0	7
cluster_1520	7	0.00	0	7
cluster_1521	7	0.00	0	7
cluster_1522	7	14.29	1	7
cluster_1523	7	0.00	0	7
cluster_1524	7	0.00	0	7
cluster_1525	7	0.00	0	7
cluster_1526	7	0.00	0	7
cluster_1527	7	0.00	0	5
cluster_1528	7	16.67	1	6
cluster_1529	7	0.00	0	7
cluster_1530	7	0.00	0	7
cluster_1531	7	0.00	0	6
cluster_1532	7	0.00	0	5
cluster_1533	7	0.00	0	7
cluster_1534	7	57.14	4	7
cluster_1535	7	42.86	3	7
cluster_1536	7	0.00	0	7
cluster_1537	7	0.00	0	6
cluster_1538	7	16.67	1	6
cluster_1539	7	14.29	1	7
cluster_1540	7	0.00	0	5
cluster_1541	7	14.29	1	7
cluster_1542	7	16.67	1	6
cluster_1543	7	14.29	1	7
cluster_1544	7	0.00	0	7
cluster_1545	7	0.00	0	5
cluster_1546	7	71.43	5	7
cluster_1547	7	0.00	0	7
cluster_1548	7	0.00	0	7
cluster_1549	7	0.00	0	7
cluster_1550	7	14.29	1	7
cluster_1551	7	0.00	0	7
cluster_1552	7	14.29	1	7
cluster_1553	7	0.00	0	7
cluster_1554	7	0.00	0	7
cluster_1555	7	0.00	0	6
cluster_1556	7	0.00	0	7
cluster_1557	7	0.00	0	7
cluster_1558	7	0.00	0	7
cluster_1559	7	14.29	1	7
cluster_1560	7	0.00	0	7
cluster_1561	7	0.00	0	7
cluster_1562	7	0.00	0	7
cluster_1563	7	28.57	2	7
cluster_1564	7	14.29	1	7
cluster_1565	7	14.29	1	7
cluster_1566	7	0.00	0	6
cluster_1567	7	0.00	0	7
cluster_1568	7	0.00	0	7
cluster_1569	7	71.43	5	7
cluster_1570	7	0.00	0	7
cluster_1571	7	0.00	0	6
cluster_1572	7	71.43	5	7
cluster_1573	7	0.00	0	6
cluster_1574	7	16.67	1	6
cluster_1575	7	0.00	0	7
cluster_1576	7	14.29	1	7
cluster_1577	7	0.00	0	7
cluster_1578	7	0.00	0	7
cluster_1579	7	0.00	0	7
cluster_1580	7	0.00	0	7
cluster_1581	7	0.00	0	7
cluster_1582	7	28.57	2	7
cluster_1583	7	28.57	2	7
cluster_1584	7	60.00	3	5
cluster_1585	7	14.29	1	7
cluster_1586	7	28.57	2	7
cluster_1587	7	0.00	0	5
cluster_1588	7	14.29	1	7
cluster_1589	7	14.29	1	7
cluster_1590	7	0.00	0	6
cluster_1591	7	0.00	0	6
cluster_1592	7	0.00	0	7
cluster_1593	7	0.00	0	6
cluster_1594	7	0.00	0	6
cluster_1595	7	14.29	1	7
cluster_1596	7	0.00	0	7
cluster_1597	7	0.00	0	7
cluster_1598	7	14.29	1	7
cluster_1599	7	0.00	0	6
cluster_1600	7	14.29	1	7
cluster_1601	7	57.14	4	7
cluster_1602	7	0.00	0	6
cluster_1603	7	0.00	0	7
cluster_1604	7	57.14	4	7
cluster_1605	7	0.00	0	7
cluster_1606	7	0.00	0	2
cluster_1607	7	14.29	1	7
cluster_1608	7	0.00	0	3
cluster_1609	7	0.00	0	6
cluster_1610	7	0.00	0	6
cluster_1611	7	0.00	0	7
cluster_1612	7	0.00	0	7
cluster_1613	7	0.00	0	6
cluster_1614	7	0.00	0	7
cluster_1615	7	71.43	5	7
cluster_1616	7	0.00	0	6
cluster_1617	7	0.00	0	3
cluster_1618	7	0.00	0	7
cluster_1619	7	100.00	7	7
cluster_1620	7	0.00	0	7
cluster_1621	7	80.00	4	5
cluster_1622	7	0.00	0	7
cluster_1623	7	14.29	1	7
cluster_1624	7	0.00	0	7
cluster_1625	7	14.29	1	7
cluster_1626	7	0.00	0	7
cluster_1627	7	0.00	0	7
cluster_1628	7	0.00	0	6
cluster_1629	7	0.00	0	7
cluster_1630	7	57.14	4	7
cluster_1631	7	0.00	0	7
cluster_1632	7	0.00	0	7
cluster_1633	7	0.00	0	7
cluster_1634	7	0.00	0	7
cluster_1635	7	14.29	1	7
cluster_1636	7	0.00	0	5
cluster_1637	7	28.57	2	7
cluster_1638	7	100.00	7	7
cluster_1639	7	0.00	0	5
cluster_1640	7	0.00	0	7
cluster_1641	7	83.33	5	6
cluster_1642	6	0.00	0	6
cluster_1643	6	66.67	4	6
cluster_1644	6	0.00	0	6
cluster_1645	6	0.00	0	6
cluster_1646	6	50.00	1	2
cluster_1647	6	100.00	6	6
cluster_1648	6	0.00	0	3
cluster_1649	6	0.00	0	4
cluster_1650	6	0.00	0	6
cluster_1651	6	0.00	0	4
cluster_1652	6	0.00	0	6
cluster_1653	6	16.67	1	6
cluster_1654	6	16.67	1	6
cluster_1655	6	0.00	0	6
cluster_1656	6	40.00	2	5
cluster_1657	6	40.00	2	5
cluster_1658	6	0.00	0	6
cluster_1659	6	0.00	0	6
cluster_1660	6	0.00	0	6
cluster_1661	6	0.00	0	4
cluster_1662	6	0.00	0	6
cluster_1663	6	0.00	0	6
cluster_1664	6	0.00	0	6
cluster_1665	6	0.00	0	2
cluster_1666	6	0.00	0	5
cluster_1667	6	0.00	0	6
cluster_1668	6	16.67	1	6
cluster_1669	6	16.67	1	6
cluster_1670	6	0.00	0	5
cluster_1671	6	0.00	0	6
cluster_1672	6	0.00	0	5
cluster_1673	6	0.00	0	6
cluster_1674	6	100.00	5	5
cluster_1675	6	0.00	0	6
cluster_1676	6	66.67	4	6
cluster_1677	6	0.00	0	6
cluster_1678	6	0.00	0	6
cluster_1679	6	0.00	0	6
cluster_1680	6	0.00	0	6
cluster_1681	6	33.33	2	6
cluster_1682	6	0.00	0	5
cluster_1683	6	0.00	0	6
cluster_1684	6	0.00	0	6
cluster_1685	6	0.00	0	2
cluster_1686	6	0.00	0	6
cluster_1687	6	0.00	0	6
cluster_1688	6	0.00	0	5
cluster_1689	6	0.00	0	5
cluster_1690	6	0.00	0	6
cluster_1691	6	0.00	0	6
cluster_1692	6	0.00	0	6
cluster_1693	6	16.67	1	6
cluster_1694	6	50.00	3	6
cluster_1695	6	60.00	3	5
cluster_1696	6	100.00	5	5
cluster_1697	6	0.00	0	6
cluster_1698	6	0.00	0	6
cluster_1699	6	16.67	1	6
cluster_1700	6	0.00	0	6
cluster_1701	6	66.67	4	6
cluster_1702	6	16.67	1	6
cluster_1703	6	0.00	0	6
cluster_1704	6	0.00	0	6
cluster_1705	6	20.00	1	5
cluster_1706	6	0.00	0	6
cluster_1707	6	0.00	0	5
cluster_1708	6	0.00	0	4
cluster_1709	6	0.00	0	6
cluster_1710	6	16.67	1	6
cluster_1711	6	0.00	0	4
cluster_1712	6	16.67	1	6
cluster_1713	6	0.00	0	6
cluster_1714	6	0.00	0	6
cluster_1715	6	16.67	1	6
cluster_1716	6	0.00	0	6
cluster_1717	6	33.33	2	6
cluster_1718	6	0.00	0	6
cluster_1719	6	0.00	0	6
cluster_1720	6	0.00	0	6
cluster_1721	6	0.00	0	5
cluster_1722	6	50.00	3	6
cluster_1723	6	0.00	0	4
cluster_1724	6	0.00	0	6
cluster_1725	6	16.67	1	6
cluster_1726	6	80.00	4	5
cluster_1727	6	0.00	0	3
cluster_1728	6	0.00	0	6
cluster_1729	6	0.00	0	6
cluster_1730	6	20.00	1	5
cluster_1731	6	0.00	0	6
cluster_1732	6	0.00	0	6
cluster_1733	6	0.00	0	6
cluster_1734	6	33.33	2	6
cluster_1735	6	0.00	0	6
cluster_1736	6	0.00	0	6
cluster_1737	6	0.00	0	6
cluster_1738	6	16.67	1	6
cluster_1739	6	80.00	4	5
cluster_1740	6	0.00	0	6
cluster_1741	6	66.67	4	6
cluster_1742	6	0.00	0	6
cluster_1743	6	0.00	0	6
cluster_1744	6	0.00	0	6
cluster_1745	6	0.00	0	5
cluster_1746	6	33.33	2	6
cluster_1747	6	16.67	1	6
cluster_1748	6	0.00	0	6
cluster_1749	6	40.00	2	5
cluster_1750	6	0.00	0	6
cluster_1751	6	16.67	1	6
cluster_1752	6	0.00	0	6
cluster_1753	6	0.00	0	4
cluster_1754	6	0.00	0	5
cluster_1755	6	60.00	3	5
cluster_1756	6	0.00	0	5
cluster_1757	6	0.00	0	2
cluster_1758	6	0.00	0	6
cluster_1759	6	0.00	0	6
cluster_1760	6	0.00	0	6
cluster_1761	6	0.00	0	5
cluster_1762	6	0.00	0	6
cluster_1763	6	0.00	0	6
cluster_1764	6	0.00	0	6
cluster_1765	6	0.00	0	6
cluster_1766	6	16.67	1	6
cluster_1767	6	0.00	0	6
cluster_1768	6	0.00	0	6
cluster_1769	6	0.00	0	6
cluster_1770	6	0.00	0	6
cluster_1771	6	80.00	4	5
cluster_1772	6	66.67	4	6
cluster_1773	6	0.00	0	6
cluster_1774	6	0.00	0	6
cluster_1775	6	0.00	0	6
cluster_1776	6	0.00	0	6
cluster_1777	6	0.00	0	6
cluster_1778	6	0.00	0	5
cluster_1779	6	0.00	0	6
cluster_1780	6	0.00	0	6
cluster_1781	6	0.00	0	5
cluster_1782	6	0.00	0	6
cluster_1783	6	0.00	0	3
cluster_1784	6	0.00	0	6
cluster_1785	6	0.00	0	6
cluster_1786	6	33.33	2	6
cluster_1787	6	0.00	0	6
cluster_1788	6	0.00	0	6
cluster_1789	6	0.00	0	6
cluster_1790	6	0.00	0	6
cluster_1791	6	33.33	2	6
cluster_1792	6	0.00	0	5
cluster_1793	6	0.00	0	6
cluster_1794	6	0.00	0	6
