cluster	number of LBDs	DPS	PAB species	total species
cluster_276	51	42.22	19	45
cluster_277	51	15.22	7	46
cluster_278	51	0.00	0	39
cluster_279	51	0.00	0	28
cluster_280	51	0.00	0	28
cluster_281	50	77.08	37	48
cluster_282	50	14.58	7	48
cluster_283	50	45.65	21	46
cluster_284	49	11.36	5	44
cluster_285	49	43.48	20	46
cluster_286	49	0.00	0	40
cluster_287	49	2.13	1	47
cluster_288	48	0.00	0	46
cluster_289	48	77.78	35	45
cluster_290	48	36.59	15	41
cluster_291	48	8.89	4	45
cluster_292	48	25.00	12	48
cluster_293	47	0.00	0	42
cluster_294	47	79.07	34	43
cluster_295	47	19.05	8	42
cluster_296	47	53.85	21	39
cluster_297	47	2.38	1	42
cluster_298	47	34.09	15	44
cluster_299	47	43.90	18	41
cluster_300	47	11.11	5	45
cluster_301	47	9.09	4	44
cluster_302	47	0.00	0	44
cluster_303	47	29.55	13	44
cluster_304	46	4.35	2	46
cluster_305	46	2.38	1	42
cluster_306	46	16.67	6	36
cluster_307	46	66.67	24	36
cluster_308	46	32.61	15	46
cluster_309	46	18.18	8	44
cluster_310	46	0.00	0	40
cluster_311	46	13.33	6	45
cluster_312	46	22.22	10	45
cluster_313	45	87.10	27	31
cluster_314	45	37.78	17	45
cluster_315	45	44.19	19	43
cluster_316	45	7.14	3	42
cluster_317	45	2.94	1	34
cluster_318	45	0.00	0	42
cluster_319	45	4.44	2	45
cluster_320	45	17.78	8	45
cluster_321	45	24.39	10	41
cluster_322	44	7.14	2	28
cluster_323	44	4.76	2	42
cluster_324	44	30.77	12	39
cluster_325	43	21.21	7	33
cluster_326	43	0.00	0	38
cluster_327	43	0.00	0	6
cluster_328	43	2.38	1	42
cluster_329	43	0.00	0	38
cluster_330	43	88.37	38	43
cluster_331	43	10.00	4	40
cluster_332	43	8.11	3	37
cluster_333	43	12.20	5	41
cluster_334	43	9.52	4	42
cluster_335	43	25.71	9	35
cluster_336	43	0.00	0	42
cluster_337	42	94.74	36	38
cluster_338	42	2.44	1	41
cluster_339	42	30.77	12	39
cluster_340	42	82.14	23	28
cluster_341	42	17.50	7	40
cluster_342	42	23.68	9	38
cluster_343	42	27.27	9	33
cluster_344	41	20.00	6	30
cluster_345	41	2.78	1	36
cluster_346	41	5.26	2	38
cluster_347	41	0.00	0	33
cluster_348	41	31.58	12	38
cluster_349	41	41.03	16	39
cluster_350	41	16.22	6	37
cluster_351	41	17.50	7	40
cluster_352	41	23.53	8	34
cluster_353	41	57.89	22	38
cluster_354	40	21.05	8	38
cluster_355	40	12.12	4	33
cluster_356	40	55.26	21	38
cluster_357	40	7.50	3	40
cluster_358	40	7.89	3	38
cluster_359	39	23.53	8	34
cluster_360	39	0.00	0	34
cluster_361	39	12.90	4	31
cluster_362	39	0.00	0	25
cluster_363	39	59.38	19	32
cluster_364	39	70.59	24	34
cluster_365	39	82.35	28	34
cluster_366	39	32.43	12	37
cluster_367	39	15.38	6	39
cluster_368	38	25.71	9	35
cluster_369	38	30.56	11	36
cluster_370	38	87.50	28	32
cluster_371	38	0.00	0	37
cluster_372	38	15.15	5	33
cluster_373	38	2.94	1	34
cluster_374	38	9.09	3	33
cluster_375	38	0.00	0	32
cluster_376	38	0.00	0	38
cluster_377	38	67.74	21	31
cluster_378	38	7.14	2	28
cluster_379	38	22.22	8	36
cluster_380	38	61.29	19	31
cluster_381	37	2.94	1	34
cluster_382	37	0.00	0	36
